Estado,PIB_2020,PIB_2021,PIB_2022,PIB_2023
Aguascalientes,307125.683,315233.12,314592.145,334210.747
Baja California,839693.34,896313.559,919233.204,951065.688
Baja California Sur,151931.29,171064.575,178120.33,181154.954
Campeche,500514.726,489604.295,472660.178,508300.288
Coahuila de Zaragoza,843597.571,921586.983,935812.824,929624.579
Colima,148143.273,147667.296,148449.257,154500.185
Chiapas,337240.435,353638.51,374504.635,380224.89
Chihuahua,808710.891,846063.938,911306.318,940263.339
Ciudad de México,3293855.308,3496055.811,3650609.372,3806082.926
Durango,286240.782,303251.381,300468.953,309708.765
Guanajuato,1019446.377,1084518.133,1110972.693,1130785.423
Guerrero,289968.16,303633.381,310093.176,313712.864
Hidalgo,364939.794,391962.041,431394.817,442970.692
Jalisco,1624208.871,1712483.099,1797607.731,1834577.514
México,2035392.322,2163537.857,2218442.304,2275497.833
Michoacán de Ocampo,601188.661,629066.207,652212.814,679343.786
Morelos,244988.806,259938.545,260102.03,265593.143
Nayarit,142605.244,155968.659,162583.92,162750.269
Nuevo León,1743165.623,1865875.274,1928648.573,1995054.68
Oaxaca,350911.405,385418.058,415530.954,447312.34
Puebla,767210.116,794876.174,825850.47,852625.249
Querétaro,553613.926,578175.108,589217.592,614127.161
Quintana Roo,292733.432,332542.125,356638.784,403785.229
San Luis Potosí,500250.925,516190.984,532770.612,575595.49
Sinaloa,484352.671,507429.021,516396.663,517683.535
Sonora,731237.968,760930.124,790057.513,827423.757
Tabasco,464760.608,545415.761,637705.237,656392.215
Tamaulipas,691399.975,725029.605,748690.033,748220.473
Tlaxcala,135083.245,143213.33,146637.527,148814.343
Veracruz de Ignacio de la Llave,971252.079,1027896.032,1041960.374,1067881.105
Yucatán,333528.2,358659.836,369103.475,389194.036
Zacatecas,210643.065,221592.281,225007.308,228807.132
