date,sales
01/03/1978,1317
01/06/1978,1615
01/09/1978,1662
01/12/1978,1295
01/03/1979,1271
01/06/1979,1555
01/09/1979,1639
01/12/1979,1238
01/03/1980,1277
01/06/1980,1258
01/09/1980,1417
01/12/1980,1185
01/03/1981,1196
01/06/1981,1410
01/09/1981,1417
01/12/1981,919
01/03/1982,943
01/06/1982,1175
01/09/1982,1269
01/12/1982,973
01/03/1983,1102
01/06/1983,1344
01/09/1983,1641
01/12/1983,1225
01/03/1984,1429
01/06/1984,1699
01/09/1984,1749
01/12/1984,1117
01/03/1985,1242
01/06/1985,1684
01/09/1985,1764
